# date	show	shipped venue (kept)	cagematch venue
2001-01-25	SmackDown	Mobile Civic Center	Civic Center
2001-02-15	SmackDown	Nassau Coliseum	Nassau Veterans Memorial Coliseum
2001-04-02	Raw	Convention Center Arena	Fort Worth Convention Center
2001-06-21	SmackDown	TD Waterhouse Center	TD Waterhouse Centre
2001-07-12	SmackDown	BJCC	BJCC Arena
2001-07-19	SmackDown	Fleet Center	FleetCenter
2001-09-20	SmackDown	Pyramid Arena	The Pyramid Arena
2001-09-27	SmackDown	Nutter Center	Ervin J. Nutter Center
2001-10-04	SmackDown	Mobile Civic Center	Civic Center
2001-10-25	SmackDown	Omaha Civic Auditorium	Civic Auditorium
2001-11-22	SmackDown	Crown Coliseum	Cumberland County Crown Coliseum
2002-01-31	SmackDown	The Scope	Norfolk Scope
2002-02-28	SmackDown	Fleet Center	FleetCenter
2002-04-11	SmackDown	Tucson Convention Center	Convention Center
2002-05-09	SmackDown	Harbor Yard Arena	Arena At Harbor Yard
2002-05-16	SmackDown	Bell Centre	Molson Centre
2002-05-23	SmackDown	BancorpSouth Center	Bancorp South Center
2002-07-04	SmackDown	Fleet Center	FleetCenter
2002-07-18	SmackDown	First Union Arena	First Union Arena At Casey Plaza
2002-08-15	SmackDown	Key Arena	KeyArena
2002-08-22	SmackDown	Crown Coliseum	Cumberland County Crown Coliseum
2002-09-19	SmackDown	World Arena	Colorado Springs World Arena
2002-10-24	SmackDown	The Pyramid	The Pyramid Arena
2002-12-05	SmackDown	American Airlines Center	American Airlines Arena
2002-12-19	SmackDown	St. Pete Times Forum	St. Petes Times Forum
2003-02-27	SmackDown	Labatt Centre	John Labatt Centre
2003-03-06	SmackDown	Harbor Yard Arena	Arena At Harbor Yard
2003-03-27	SmackDown	Compaq Center	HP Pavilion At San Jose
2003-04-17	SmackDown	The Scope	Norfolk Scope
2003-05-08	SmackDown	Metro Centre	Halifax Metro Centre
2003-05-29	SmackDown	Pensacola Civic Center	Civic Center
2003-07-28	Raw	World Arena	Colorado Springs World Arena
2003-07-31	SmackDown	World Arena	Colorado Springs World Arena
2003-08-07	SmackDown	Skyreach Place	Skyreach Centre
2003-09-08	Raw	VBC Arena At Von Braun Center	Von Braun Center
2003-09-11	SmackDown	Jefferson Civic Center	Birmingham-Jefferson Convention Complex
2003-12-04	SmackDown	HP Pavillion	HP Pavilion At San Jose
2003-12-18	SmackDown	Jacksonville Memorial Coliseum	Jacksonville Veterans Memorial Arena
2004-01-01	SmackDown	Entertainment Center	Laredo Entertainment Center
2004-01-08	SmackDown	VBC Arena At Von Braun Center	Von Braun Center
2004-10-25	Raw	Veterans Auditorium	Veterans Memorial Auditorium
2004-12-13	Raw	VBC Arena At Von Braun Center	Von Braun Center
2005-09-30	SmackDown	Entertainment Center	Laredo Entertainment Center
2006-08-28	Raw	Atlantic City Boardwalk Hall	Boardwalk Hall
2008-04-14	Raw	O2 Arena	The O2
2008-04-18	SmackDown	O2 Arena	The O2
2008-05-30	SmackDown	World Arena	Colorado Springs World Arena
2009-04-20	Raw	o2 Arena	The O2
2009-04-24	SmackDown	o2 Arena	The O2
2010-04-12	Raw	o2 Arena	The O2
2010-04-16	SmackDown	o2 Arena	The O2
2010-04-26	Raw	The Richmond Coliseum	Richmond Coliseum
2010-11-19	SmackDown	The Richmond Coliseum	Richmond Coliseum
2011-04-18	Raw	O2 Arena	The O2
2011-04-22	SmackDown	O2 Arena	The O2
2014-02-21	SmackDown	World Arena	Colorado Springs World Arena
2014-08-08	SmackDown	Laredo Energy Center	Laredo Energy Arena
2015-02-05	SmackDown	World Arena	The Broadmoor World Arena
2015-11-05	SmackDown	World Arena	The Broadmoor World Arena
2018-01-22	Raw	Barclays Center	Manhattan Center
2020-02-27	PPV	Mohammed Abdu Arena	Mohammed Abdo Arena
2020-05-10	PPV	WWE Performance Center Titan Towers	WWE Performance Center
2020-08-23	PPV	WWE ThunderDome at Amway Center	WWE ThunderDome (Amway Center)
2020-08-30	PPV	WWE ThunderDome at Amway Center	WWE ThunderDome (Amway Center)
2020-09-27	PPV	WWE ThunderDome at Amway Center	WWE ThunderDome (Amway Center)
2020-10-25	PPV	WWE ThunderDome at Amway Center	WWE ThunderDome (Amway Center)
2020-11-22	PPV	WWE ThunderDome at Amway Center	WWE ThunderDome (Amway Center)
2020-12-06	PPV	Capitol Wrestling Center	Capitol Wrestling Center (WWE Performance Center)
2020-12-20	PPV	WWE ThunderDome at Tropicana Field	WWE ThunderDome (Tropicana Field)
2021-01-31	PPV	WWE ThunderDome at Tropicana Field	WWE ThunderDome (Tropicana Field)
2021-02-21	PPV	WWE ThunderDome at Tropicana Field	WWE ThunderDome (Tropicana Field)
2021-03-21	PPV	WWE ThunderDome at Tropicana Field	WWE ThunderDome (Tropicana Field)
2021-05-16	PPV	WWE ThunderDome at Yuengling Center	WWE ThunderDome (Yuengling Center)
2021-06-13	PPV	WWE Performance Center	Capitol Wrestling Center (WWE Performance Center)
2021-06-20	PPV	WWE ThunderDome at Yuengling Center	WWE ThunderDome (Yuengling Center)
2021-10-21	PPV	Mohammed Abdu Arena	Mohammed Abdo Arena
2023-02-18	PPV	Bell Centre	Centre Bell
2023-05-06	PPV	Coliseo de Puerto Rico José Miguel Agrelot	Coliseo De Puerto Rico
2023-05-28	PPV	Tsongas Center	Tsongas Center At UMass Lowell
2023-07-01	PPV	The O 2 Arena	The O2
2024-02-24	PPV	Perth Stadium	Optus Stadium
2024-05-25	PPV	Jeddah Superdome	Jeddah Super Dome
2024-11-02	PPV	Mohammed Abdo Arena	Kingdom Arena
2025-07-12	PPV	Center Stage	Center Stage Theater
2025-10-11	PPV	Perth Arena	RAC Arena
2026-01-31	PPV	Riyadh Season Stadium, King Abdullah Financial District	Riyadh Season Stadium At King Abdullah Financial District
