source	reason	title
wwevault	2 ppv candidates	FULL MATCH: Sami Zayn vs. Karrion Kross: SummerSlam 2025
wwevault	3 ppv candidates	FULL MATCH: Bobby Lashley vs. Omos: WrestleMania Backlash 2022
wwevault	3 ppv candidates	FULL MATCH: Roman Reigns vs. Cesaro | Universal Title Match: WrestleMania Backlash 2021
wwevault	2 ppv candidates	FULL MATCH: Brock Lesnar vs. Bray Wyatt & Luke Harper: WWE Roadblock 2016
wwevault	2 ppv candidates	FULL MATCH: John Cena vs. Triple H: Greatest Royal Rumble 2018
wwevault	2 ppv candidates	FULL MATCH: Seth Rollins vs. The Miz vs. Finn Bálor vs. Samoa Joe: Greatest Royal Rumble 2018
wwevault	2 ppv candidates	FULL MATCH: Batista vs. Great Khali | World Heavyweight Title Punjabi Prison Match: No Mercy 2007
wwevault	2 ppv candidates	FULL MATCH: Brock Lesnar vs. Undertaker | WWE Title Hell in a Cell Match: No Mercy 2002
wwevault	2 ppv candidates	FULL MATCH: Triple H vs. Dean Ambrose – WWE Title Match: WWE Roadblock 2016
wwevault	2 ppv candidates	FULL MATCH: Batista vs. Eddie Guerrero — World Heavyweight Title Match: WWE No Mercy 2005
wwevault	2 ppv candidates	FULL MATCH: Undertaker vs. Ortons — Handicap Casket Match: WWE No Mercy 2005
momoicon	2 ppv candidates	Chris Jericho Last Match In WWE: WWE Greatest Royal Rumble 2018 HD (Highlights)
wfattitude	2 candidates	Jazz vs. Bubba Ray Dudley - Hardcore Championship | WWF RAW (2002)
wfattitude	3 candidates	NWO vs. Bradshaw & Stone Cold - Ric Flair Special Guest Referee | WWF RAW (2002)
wfattitude	2 candidates	Brock Lesnar vs. Shawn Stasiak | WWF RAW (2002)
wfattitude	3 candidates	Jeff Hardy vs. Eddie Guerrero - Intercontinental Championship | WWF RAW (2002)
wfattitude	2 candidates	NWO vs. Big Show & Stone Cold | WWF RAW (2002) 2
wfattitude	2 candidates	NWO vs. Big Show & Stone Cold | WWF RAW (2002) 1
wfattitude	2 candidates	Brock Lesnar vs. Matt Hardy | WWF RAW (2002)
wfattitude	16 candidates	Molly Holly vs. Trish Stratus - #1 Contender Match | WWF RAW (2002)
wfattitude	2 candidates	Bubba Ray Dudley vs. Raven - Hardcore Championship | WWF RAW (2002)
wfattitude	6 candidates	Scott Hall vs. Stone Cold | WWF RAW (2002) 2
