source	reason	title
wwevault	no-join	FULL EPISODE: Best of the WWE, Vol. 11 | Hogan & Piper vs. Orndorff & Race; Savage, JYD and MORE!
wwevault	no-join	FULL EPISODE: Cody Rhodes talks WWE return, legacy and more with Austin | Broken Skull Sessions
wwevault	no-join	FULL MATCH: CM Punk vs. John Cena vs. Big Show | WWE Championship Triple Threat Match
wwevault	flag:short-show	FULL EPISODE: Street & Dundee clash; Magnum TA vs. Ted DiBiase: Mid-South Wrestling, Nov. 16, 1984
wwevault	no-join	FULL MATCH: Dusty Rhodes vs. Honky Tonk Man: SummerSlam 1989
wwevault	flag:short-show	FULL EPISODE: Shawn Michaels in action; Cornette and Akbar strike a deal: Nov. 9, 1984
wwevault	no-join	FULL MATCH: Hulk Hogan vs. Yokozuna | WWE Title Match: King of the Ring 1993
wwevault	no-join	FULL MATCH: “Stone Cold” Steve Austin vs. Kane | WWE Title First Blood Match: King of the Ring 1998
wwevault	flag:short-show	FULL EPISODE: Sheamus, Regal and Barrett share King of the Ring tales | Table for 3
wwevault	flag:short-show	FULL EPISODE: Street battles Dundee; Magnum TA vs. Missing Link: Mid-South Wrestling, Nov. 2, 1984
wwevault	flag:short-show	FULL EPISODE: Zayn & Owens, Usos & Naomi hit the road: WWE Ride Along
wwevault	flag:short-show	FULL EPISODE: Duggan ready for Dr. Death; Missing Link competes: Mid-South Wrestling, Oct. 27, 1984
wwevault	no-join	FULL MATCH: Bret Hart vs. Bam Bam Bigelow | King of the Ring Final: King of the Ring 1993
wwevault	no-join	FULL MATCH: Triple H vs. Randy Orton | WWE Title Last Man Standing Match: One Night Stand 2008
wwevault	no-join	FULL MATCH: Shawn Michaels vs. Batista | Stretcher Match: WWE One Night Stand 2008
wwevault	no-join	FULL EPISODE: Zayn talks El Generico, Owens, Knoxville match with Austin: Broken Skull Sessions
wwevault	no-join	FULL MATCH: Shawn Michaels vs. King Kong Bundy | King of the Ring First Round: Raw, May 22, 1995
wwevault	no-join	FULL MATCH: Yokozuna vs. Vader: In Your House: Beware of Dog
