slug	name	total_matches
randy-orton	Randy Orton	996
john-cena	John Cena	869
kane	Kane	797
sheamus	Sheamus	783
kofi-kingston	Kofi Kingston	774
the-miz	The Miz	770
the-big-show	The Big Show	766
dolph-ziggler	Dolph Ziggler	760
rey-mysterio	Rey Mysterio	680
chris-jericho	Chris Jericho	662
seth-rollins	Seth Rollins	603
jey-uso	Jey Uso	529
edge	Edge	511
cesaro	Cesaro	505
roman-reigns	Roman Reigns	501
jimmy-uso	Jimmy Uso	472
drew-mcintyre	Drew McIntyre	468
cody-rhodes	Cody Rhodes	466
daniel-bryan	Daniel Bryan	456
natalya	Natalya	454
jeff-hardy	Jeff Hardy	442
dean-ambrose	Dean Ambrose	429
triple-h	Triple H	421
cm-punk	CM Punk	418
matt-hardy	Matt Hardy	404
r-truth	R-Truth	403
christian	Christian	397
kevin-owens	Kevin Owens	389
batista	Batista	387
shelton-benjamin	Shelton Benjamin	386
alberto-del-rio	Alberto Del Rio	379
big-e	Big E	375
aj-styles	AJ Styles	374
mark-henry	Mark Henry	372
the-undertaker	The Undertaker	363
jack-swagger	Jack Swagger	357
sami-zayn	Sami Zayn	340
kurt-angle	Kurt Angle	332
chris-benoit	Chris Benoit	325
rob-van-dam	Rob Van Dam	319
bayley	Bayley	307
naomi	Naomi	297
xavier-woods	Xavier Woods	295
bobby-lashley	Bobby Lashley	290
finn-blor	Finn Bálor	283
becky-lynch	Becky Lynch	281
booker-t	Booker T	279
john-morrison	John Morrison	267
charlotte-flair	Charlotte Flair	265
ryback	Ryback	265
zack-ryder	Zack Ryder	258
bubba-ray-dudley	Bubba Ray Dudley	256
heath-slater	Heath Slater	256
rusev	Rusev	256
braun-strowman	Braun Strowman	253
william-regal	William Regal	251
sasha-banks	Sasha Banks	249
shawn-michaels	Shawn Michaels	249
asuka	Asuka	246
chavo-guerrero-jr	Chavo Guerrero Jr.	245
bray-wyatt	Bray Wyatt	238
chad-gable	Chad Gable	233
alicia-fox	Alicia Fox	232
santino-marella	Santino Marella	230
mickie-james	Mickie James	225
d-von-dudley	D-Von Dudley	224
shinsuke-nakamura	Shinsuke Nakamura	224
titus-oneil	Titus O'Neil	222
montel-vontavious-porter	Montel Vontavious Porter	219
goldust	Goldust	218
nia-jax	Nia Jax	217
sin-cara	Sin Cara	215
alexa-bliss	Alexa Bliss	214
the-great-khali	The Great Khali	212
trish-stratus	Trish Stratus	209
eddie-guerrero	Eddie Guerrero	207
brie-bella	Brie Bella	206
jinder-mahal	Jinder Mahal	205
liv-morgan	Liv Morgan	204
carlito	Carlito	201
baron-corbin	Baron Corbin	195
curtis-axel	Curtis Axel	194
ricochet	Ricochet	192
nikki-bella	Nikki Bella	191
luke-harper	Luke Harper	185
montez-ford	Montez Ford	185
wade-barrett	Wade Barrett	185
beth-phoenix	Beth Phoenix	179
damian-priest	Damian Priest	179
ric-flair	Ric Flair	179
luke-gallows	Luke Gallows	178
angelo-dawkins	Angelo Dawkins	174
finlay	Finlay	174
shayna-baszler	Shayna Baszler	174
fandango	Fandango	170
erick-rowan	Erick Rowan	169
otis	Otis	169
victoria	Victoria	169
layla	Layla	168
apollo-crews	Apollo Crews	167
rhyno	Rhyno	165
tamina	Tamina	162
tyson-kidd	Tyson Kidd	162
