# wrestlers fetched directly from SDH full-body dir (slug<TAB>sdh-source-name)	captured 2026-06-29
randy-orton	randy-orton
chris-jericho	chris-jericho
seth-rollins	seth-rollins
jey-uso	jey-uso
edge	edge
roman-reigns	roman-reigns
jimmy-uso	jimmy-uso
daniel-bryan	daniel-bryan
natalya	natalya
dean-ambrose	dean-ambrose
cm-punk	cm-punk
christian	christian
the-undertaker	undertaker
chris-benoit	chris-benoit
bayley	bayley
naomi	naomi
finn-blor	finn-balor
becky-lynch	becky-lynch
john-morrison	john-morrison
ryback	ryback
rusev	rusev
braun-strowman	braun-strowman
asuka	asuka
chavo-guerrero-jr	chavo-guerrero
bray-wyatt	bray-wyatt
alicia-fox	alicia-fox
santino-marella	santino-marella
montel-vontavious-porter	mvp
nia-jax	nia-jax
alexa-bliss	alexa-bliss
brie-bella	brie-bella
liv-morgan	liv-morgan
carlito	carlito
baron-corbin	baron-corbin
ricochet	ricochet
nikki-bella	nikki-bella
luke-harper	luke-harper
montez-ford	montez-ford
luke-gallows	luke-gallows
angelo-dawkins	angelo-dawkins
finlay	finlay
shayna-baszler	shayna-baszler
erick-rowan	erick-rowan
otis	otis
layla	layla
apollo-crews	apollo-crews
tamina	tamina
charlie-haas	charlie-haas
tajiri	tajiri
jamie-noble	jamie-noble
dominik-mysterio	dominik-mysterio
karl-anderson	karl-anderson
kelly-kelly	kelly-kelly
damien-sandow	damien-sandow
ivar	ivar
melina	melina
brian-kendrick	brian-kendrick
erik	erik
rhea-ripley	rhea-ripley
test	test
andrade	andrade
bo-dallas	bo-dallas
carmella	carmella
cedric-alexander	cedric-alexander
darren-young	darren-young
kalisto	kalisto
spike-dudley	spike-dudley
dana-brooke	dana-brooke
la-knight	la-knight
austin-theory	austin-theory
paige	paige
elias	elias
paul-london	paul-london
akira-tozawa	akira-tozawa
lance-storm	lance-storm
raquel-rodriguez	raquel-rodriguez
sonya-deville	sonya-deville
viktor	viktor
konnor	konnor
tyler-breeze	tyler-breeze
aj-lee	aj-lee
kairi-sane	kairi-sane
maryse	maryse
mustafa-ali	mustafa-ali
solo-sikoa	solo-sikoa
funaki	funaki
nikki-cross	nikki-cross
aleister-black	aleister-black
gail-kim	gail-kim
johnny-gargano	johnny-gargano
billy-kidman	billy-kidman
dash-wilder	dash-wilder
gunther	gunther
mandy-rose	mandy-rose
neville	neville
scott-dawson	scott-dawson
scotty-2-hotty	scotty-2-hotty
chuck-palumbo	chuck-palumbo
ruby-riott	ruby-riott
chelsea-green	chelsea-green
bronson-reed	bronson-reed
drew-gulak	drew-gulak
rene-dupree	rene-dupree
tommaso-ciampa	tommaso-ciampa
zelina-vega	zelina-vega
val-venis	val-venis
shannon-moore	shannon-moore
kaitlyn	kaitlyn
maven	maven
mojo-rawley	mojo-rawley
trevor-murdoch	trevor-murdoch
aiden-english	aiden-english
lance-cade	lance-cade
ludwig-kaiser	ludwig-kaiser
bron-breakker	bron-breakker
eugene	eugene
super-crazy	super-crazy
billy-gunn	billy-gunn
gran-metalik	gran-metalik
lince-dorado	lince-dorado
robert-roode	robert-roode
nunzio	nunzio
peyton-royce	peyton-royce
tiffany-stratton	tiffany-stratton
jason-jordan	jason-jordan
candice-michelle	candice-michelle
rob-conway	rob-conway
enzo-amore	enzo-amore
rosey	rosey
sylvain-grenier	sylvain-grenier
tucker	tucker
omos	omos
dragon-lee	dragon-lee
orlando-jordan	orlando-jordan
ronda-rousey	ronda-rousey
tommy-dreamer	tommy-dreamer
billie-kay	billie-kay
deuce	deuce
domino	domino
rosa-mendes	rosa-mendes
roxanne-perez	roxanne-perez
adam-rose	adam-rose
lyra-valkyria	lyra-valkyria
santos-escobar	santos-escobar
rezar	rezar
grayson-waller	grayson-waller
ember-moon	ember-moon
emma	emma
dakota-kai	dakota-kai
snitsky	snitsky
akam	akam
zoey-stark	zoey-stark
angel-garza	angel-garza
doug-basham	doug-basham
jade-cargill	jade-cargill
tye-dillinger	tye-dillinger
danny-basham	danny-basham
lana	lana
piper-niven	piper-niven
matt-riddle	matt-riddle
cameron	cameron
jesse	jesse
